Run,Config,Repetition,Warmup (s),Warmup Value (s),SimTime (s),Sys Throughput (Mbps),RB Utilization,Avg User Throughput (kbps),Avg Queue Length
WarmupDetection9000Binomial-0-20250715-19:44:24-326106,WarmupDetection9000Binomial,0,0.0527211899244,0.000110,64.10000000000001,14.425,25.000,13.936,247427.791
WarmupDetection9000Binomial-1-20250715-19:44:24-326107,WarmupDetection9000Binomial,1,0.055189698213599994,0.000114,64.10000000000001,14.439,25.000,13.964,246839.405
WarmupDetection9000Binomial-2-20250715-19:44:51-326175,WarmupDetection9000Binomial,2,0.083671909716,0.000113,64.10000000000001,14.484,25.000,14.028,246701.950
WarmupDetection9000Binomial-3-20250715-19:44:52-326181,WarmupDetection9000Binomial,3,0.059583087209999996,0.000109,64.60000000000001,14.463,25.000,13.949,246460.809
WarmupDetection9000Binomial-4-20250715-19:45:22-326221,WarmupDetection9000Binomial,4,0.0445927301124,0.000108,65.10000000000001,14.417,25.000,13.940,248104.598
WarmupDetection9000Binomial-5-20250715-19:45:24-326226,WarmupDetection9000Binomial,5,0.05415862938,0.000111,64.10000000000001,14.383,25.000,13.884,245476.216
WarmupDetection9000Binomial-6-20250715-19:45:55-326282,WarmupDetection9000Binomial,6,0.07107128025,0.000109,64.10000000000001,14.506,25.000,14.001,246670.367
WarmupDetection9000Binomial-7-20250715-19:45:55-326287,WarmupDetection9000Binomial,7,0.0467088513612,0.000110,64.10000000000001,14.407,25.000,13.874,247578.201
WarmupDetection9000Binomial-8-20250715-19:46:24-326325,WarmupDetection9000Binomial,8,0.0404663276532,0.000111,64.60000000000001,14.519,25.000,14.061,248019.943
WarmupDetection9000Binomial-9-20250715-19:46:25-326330,WarmupDetection9000Binomial,9,0.0472568404956,0.000108,64.60000000000001,14.383,25.000,13.864,248722.580
