Run,Config,Repetition,Warmup (s),Warmup Value (s),SimTime (s),Sys Throughput (Mbps),RB Utilization,Avg User Throughput (kbps),Avg Queue Length
WarmupDetection500Uniform-0-20250715-19:13:16-313380,WarmupDetection500Uniform,0,0.9489814186055999,0.001989,10.100000000000001,1.518,13.669,0.372,0.765
WarmupDetection500Uniform-1-20250715-19:13:16-313377,WarmupDetection500Uniform,1,0.9934145680752,0.002050,12.5,1.518,13.625,0.372,0.759
WarmupDetection500Uniform-2-20250715-19:13:16-313378,WarmupDetection500Uniform,2,1.5060943750392,0.002031,19.200000000000003,1.515,13.694,0.374,0.774
WarmupDetection500Uniform-3-20250715-19:13:16-313382,WarmupDetection500Uniform,3,1.0724955699048,0.001953,10.3,1.520,13.801,0.371,0.773
WarmupDetection500Uniform-4-20250715-19:13:16-313383,WarmupDetection500Uniform,4,0.802669142136,0.001951,10.100000000000001,1.512,13.520,0.372,0.770
WarmupDetection500Uniform-5-20250715-19:13:16-313385,WarmupDetection500Uniform,5,0.9748553288028,0.002007,10.9,1.520,13.654,0.374,0.764
WarmupDetection500Uniform-6-20250715-19:13:16-313387,WarmupDetection500Uniform,6,1.2792830445396,0.001959,10.100000000000001,1.507,13.640,0.371,0.767
WarmupDetection500Uniform-7-20250715-19:13:16-313402,WarmupDetection500Uniform,7,0.8407593243792,0.001987,10.600000000000001,1.508,13.603,0.371,0.769
WarmupDetection500Uniform-8-20250715-19:13:19-313483,WarmupDetection500Uniform,8,0.7283938976328,0.001990,10.100000000000001,1.512,13.553,0.371,0.768
WarmupDetection500Uniform-9-20250715-19:13:19-313491,WarmupDetection500Uniform,9,0.8506231289171999,0.001936,10.100000000000001,1.522,13.745,0.373,0.778
