run,user_id,bytes_transmitted,throughput_bps,throughput_mbps
Scenario2-50-20250720-17:28:50-739337,0,2091000.0,304145.45454545453,0.30414545454545455
Scenario2-50-20250720-17:28:50-739337,1,2106290.0,306369.45454545453,0.30636945454545456
Scenario2-50-20250720-17:28:50-739337,2,2095932.0,304862.83636363636,0.30486283636363637
Scenario2-50-20250720-17:28:50-739337,3,2086553.0,303498.61818181816,0.30349861818181817
Scenario2-50-20250720-17:28:50-739337,4,2098753.0,305273.16363636364,0.30527316363636364
Scenario2-50-20250720-17:28:50-739337,5,2085946.0,303410.32727272727,0.30341032727272726
Scenario2-50-20250720-17:28:50-739337,6,2096290.0,304914.9090909091,0.3049149090909091
Scenario2-50-20250720-17:28:50-739337,7,2094341.0,304631.41818181815,0.30463141818181816
Scenario2-50-20250720-17:28:50-739337,8,2095952.0,304865.7454545455,0.3048657454545455
Scenario2-50-20250720-17:28:50-739337,9,2091004.0,304146.0363636364,0.30414603636363635
Scenario2-51-20250720-17:28:51-739349,0,2082689.0,302936.58181818185,0.30293658181818184
Scenario2-51-20250720-17:28:51-739349,1,2073481.0,301597.2363636364,0.3015972363636364
Scenario2-51-20250720-17:28:51-739349,2,2087480.0,303633.45454545453,0.30363345454545454
Scenario2-51-20250720-17:28:51-739349,3,2088478.0,303778.61818181816,0.30377861818181817
Scenario2-51-20250720-17:28:51-739349,4,2096588.0,304958.2545454545,0.3049582545454545
Scenario2-51-20250720-17:28:51-739349,5,2089938.0,303990.9818181818,0.3039909818181818
Scenario2-51-20250720-17:28:51-739349,6,2077309.0,302154.0363636364,0.30215403636363636
Scenario2-51-20250720-17:28:51-739349,7,2094410.0,304641.45454545453,0.30464145454545455
Scenario2-51-20250720-17:28:51-739349,8,2084931.0,303262.6909090909,0.3032626909090909
Scenario2-51-20250720-17:28:51-739349,9,2082798.0,302952.43636363634,0.30295243636363633
Scenario2-52-20250720-17:28:51-739354,0,2107037.0,306478.10909090907,0.30647810909090906
Scenario2-52-20250720-17:28:51-739354,1,2082492.0,302907.92727272725,0.30290792727272725
Scenario2-52-20250720-17:28:51-739354,2,2101465.0,305667.63636363635,0.30566763636363636
Scenario2-52-20250720-17:28:51-739354,3,2092041.0,304296.87272727274,0.30429687272727274
Scenario2-52-20250720-17:28:51-739354,4,2103584.0,305975.85454545455,0.30597585454545456
Scenario2-52-20250720-17:28:51-739354,5,2089966.0,303995.05454545456,0.30399505454545456
Scenario2-52-20250720-17:28:51-739354,6,2087069.0,303573.67272727273,0.3035736727272727
Scenario2-52-20250720-17:28:51-739354,7,2098302.0,305207.56363636366,0.30520756363636364
Scenario2-52-20250720-17:28:51-739354,8,2101575.0,305683.63636363635,0.3056836363636364
Scenario2-52-20250720-17:28:51-739354,9,2095555.0,304808.0,0.304808
