run,system_bytes,system_throughput_bps,system_throughput_mbps
Scenario2-35-20250720-17:28:47-739265,20915002.0,3042182.109090909,3.0421821090909087
Scenario2-45-20250720-17:28:50-739316,20870479.0,3035706.036363636,3.0357060363636363
Scenario2-46-20250720-17:28:50-739321,20863718.0,3034722.618181818,3.034722618181818
Scenario2-47-20250720-17:28:50-739322,20848943.0,3032573.5272727273,3.0325735272727274
Scenario2-48-20250720-17:28:50-739331,20869302.0,3035534.8363636364,3.0355348363636363
Scenario2-49-20250720-17:28:50-739336,20985211.0,3052394.327272727,3.052394327272727
Scenario2-50-20250720-17:28:50-739337,20942061.0,3046117.963636364,3.046117963636364
Scenario2-51-20250720-17:28:51-739349,20858102.0,3033905.7454545456,3.0339057454545455
Scenario2-52-20250720-17:28:51-739354,20959086.0,3048594.327272727,3.048594327272727
Scenario2-53-20250720-17:28:51-739356,20944663.0,3046496.4363636365,3.0464964363636367
Scenario2-54-20250720-17:28:51-739364,20931097.0,3044523.2,3.0445232
Scenario2-36-20250720-17:28:47-739270,20903136.0,3040456.1454545455,3.0404561454545456
Scenario2-55-20250720-17:28:52-739369,20936228.0,3045269.5272727273,3.0452695272727275
Scenario2-56-20250720-17:28:52-739374,20958831.0,3048557.2363636363,3.0485572363636364
Scenario2-57-20250720-17:28:52-739379,20906343.0,3040922.618181818,3.0409226181818183
Scenario2-58-20250720-17:28:52-739380,20877364.0,3036707.4909090907,3.0367074909090905
Scenario2-59-20250720-17:28:52-739381,20922428.0,3043262.2545454544,3.0432622545454544
Scenario2-60-20250720-17:28:53-739394,20872124.0,3035945.309090909,3.035945309090909
Scenario2-61-20250720-17:28:53-739400,20915835.0,3042303.272727273,3.0423032727272727
Scenario2-62-20250720-17:28:54-739409,20859485.0,3034106.909090909,3.034106909090909
Scenario2-63-20250720-17:28:54-739410,20915213.0,3042212.8,3.0422127999999997
Scenario2-64-20250720-17:28:54-739419,20884813.0,3037790.981818182,3.037790981818182
Scenario2-37-20250720-17:28:47-739275,20944660.0,3046496.0,3.046496
Scenario2-65-20250720-17:28:54-739425,20880737.0,3037198.109090909,3.037198109090909
Scenario2-66-20250720-17:28:54-739430,20816981.0,3027924.5090909093,3.0279245090909095
Scenario2-67-20250720-17:28:55-739435,20902839.0,3040412.9454545453,3.040412945454545
Scenario2-68-20250720-17:28:55-739440,20879841.0,3037067.7818181817,3.0370677818181817
Scenario2-69-20250720-17:28:55-739445,20908805.0,3041280.727272727,3.041280727272727
Scenario2-38-20250720-17:28:48-739280,20889874.0,3038527.1272727274,3.0385271272727272
Scenario2-39-20250720-17:28:48-739285,20936012.0,3045238.109090909,3.045238109090909
Scenario2-40-20250720-17:28:48-739286,20925360.0,3043688.727272727,3.043688727272727
Scenario2-41-20250720-17:28:48-739295,20907705.0,3041120.727272727,3.041120727272727
Scenario2-42-20250720-17:28:49-739300,20883946.0,3037664.8727272726,3.0376648727272726
Scenario2-43-20250720-17:28:49-739306,20881613.0,3037325.5272727273,3.0373255272727273
Scenario2-44-20250720-17:28:49-739307,20932781.0,3044768.1454545455,3.0447681454545457
Scenario2-70-20250720-17:28:55-739448,30026401.0,4367476.509090909,4.367476509090909
