run,mean_rb_utilization,stddev_rb_utilization,min_rb_utilization,max_rb_utilization
Scenario1-0-20250720-17:24:01-736834,24.526681333067,1.677753341627,5.0,25.0
Scenario1-10-20250720-17:24:03-736898,24.515463355212,1.7215484489599,5.0,25.0
Scenario1-11-20250720-17:24:03-736899,24.496863693387,1.766741782785,3.0,25.0
Scenario1-12-20250720-17:24:03-736910,24.496445519172,1.7637746459795,4.0,25.0
Scenario1-13-20250720-17:24:03-736911,24.520808712569,1.6977762698117,6.0,25.0
Scenario1-14-20250720-17:24:04-736922,24.507463500664,1.7376639817084,4.0,25.0
Scenario1-15-20250720-17:24:04-736923,24.520335993891,1.7099893896047,4.0,25.0
Scenario1-16-20250720-17:24:05-736932,24.494554644461,1.767291811661,3.0,25.0
Scenario1-17-20250720-17:24:05-736937,24.520045090089,1.7347368167596,5.0,25.0
Scenario1-18-20250720-17:24:05-736938,24.531426701333,1.6889261189867,5.0,25.0
Scenario1-19-20250720-17:24:05-736940,24.521717786949,1.7083128737468,5.0,25.0
Scenario1-1-20250720-17:24:01-736835,24.50680896711,1.7494814818413,4.0,25.0
Scenario1-20-20250720-17:24:06-736952,24.523772295049,1.7113374234218,2.0,25.0
Scenario1-21-20250720-17:24:06-736953,24.51349975455,1.7214910367693,4.0,25.0
Scenario1-22-20250720-17:24:06-736966,24.520681442156,1.7041272085443,4.0,25.0
Scenario1-23-20250720-17:24:06-736965,24.526063162488,1.7131835780026,2.0,25.0
Scenario1-24-20250720-17:24:07-736975,24.520772349594,1.7174003482568,6.0,25.0
Scenario1-25-20250720-17:24:07-736980,24.533535753895,1.6836345603374,5.0,25.0
Scenario1-26-20250720-17:24:08-736985,24.517354229923,1.7056893321925,5.0,25.0
Scenario1-27-20250720-17:24:08-736991,24.519299649097,1.7127636541433,4.0,25.0
Scenario1-28-20250720-17:24:08-736990,24.505227177688,1.7592702370658,5.0,25.0
Scenario1-29-20250720-17:24:08-737000,24.526335884802,1.6994015121419,4.0,25.0
Scenario1-2-20250720-17:24:01-736836,24.516263340667,1.7294229328766,6.0,25.0
Scenario1-30-20250720-17:24:08-737005,24.501845420992,1.72764717931,4.0,25.0
Scenario1-31-20250720-17:24:08-737009,24.505918074217,1.7503782638818,3.0,25.0
Scenario1-32-20250720-17:24:09-737016,24.511027072235,1.7258334591553,5.0,25.0
Scenario1-33-20250720-17:24:09-737021,24.522099598189,1.7305038044055,2.0,25.0
Scenario1-34-20250720-17:24:09-737026,24.497572771404,1.7539769147697,5.0,25.0
Scenario1-3-20250720-17:24:01-736837,24.482463955201,1.787966526455,4.0,25.0
