run,user_id,mean,stddev,count,min,max
Scenario1-13-20250720-17:24:03-736911,6,0.0021370406790125,0.0020481387606466,82471.0,3.3755e-08,0.018619303583
Scenario1-13-20250720-17:24:03-736911,7,0.0021453143445557,0.0020710383623895,82091.0,4.6774e-08,0.019919492894
Scenario1-13-20250720-17:24:03-736911,8,0.0021277891994291,0.0020374689266413,82302.0,8.796e-09,0.023602639044
Scenario1-13-20250720-17:24:03-736911,9,0.0021086353381324,0.0020267862431215,82321.0,5.1088e-08,0.018321438184
Scenario1-14-20250720-17:24:04-736922,0,0.0021329090394597,0.0020375033623173,82206.0,1.213e-08,0.022015915833
Scenario1-14-20250720-17:24:04-736922,1,0.0021602432658227,0.0020321577432025,83135.0,6.9561e-08,0.017669599764
Scenario1-14-20250720-17:24:04-736922,2,0.0021288567135557,0.0020369104915799,82690.0,4.158e-09,0.020969554498
Scenario1-14-20250720-17:24:04-736922,3,0.0021751751153485,0.0020948905929983,82425.0,3.8155e-08,0.018669111665
Scenario1-14-20250720-17:24:04-736922,4,0.0021553664719257,0.0020710975992691,82858.0,4.1249e-08,0.021870097972
Scenario1-14-20250720-17:24:04-736922,5,0.0021635566940316,0.0020979994136067,82814.0,8.8006e-08,0.019148367464
Scenario1-14-20250720-17:24:04-736922,6,0.0021803270882884,0.0021386508093723,82549.0,1.2045e-08,0.020727190402
Scenario1-14-20250720-17:24:04-736922,7,0.002165827342564,0.0021073892741739,82778.0,1.2186e-08,0.023028401709
Scenario1-14-20250720-17:24:04-736922,8,0.0021488448799052,0.0020788660643655,82710.0,4.16e-09,0.017519062307
Scenario1-14-20250720-17:24:04-736922,9,0.0021193787440503,0.0020124336734722,82350.0,1.53951e-07,0.017133384426
Scenario1-15-20250720-17:24:04-736923,0,0.0021561820296231,0.0020717056410707,82750.0,3.7669e-08,0.018700035088
Scenario1-15-20250720-17:24:04-736923,1,0.0021616255448486,0.0021161532010288,82778.0,4.7768e-08,0.022730839007
Scenario1-15-20250720-17:24:04-736923,2,0.0021358309640605,0.0020432490452113,82992.0,4.8818e-08,0.017842130517
Scenario1-15-20250720-17:24:04-736923,3,0.0021494572889603,0.0020441187016948,82813.0,7.3151e-08,0.017235294312
Scenario1-15-20250720-17:24:04-736923,4,0.0021469201496944,0.0020650068594771,82688.0,6.2199e-08,0.023380803235
Scenario1-15-20250720-17:24:04-736923,5,0.0021420515010429,0.0020500577920902,82241.0,6.313e-09,0.022346841048
Scenario1-15-20250720-17:24:04-736923,6,0.0021740474195418,0.002103655482747,83077.0,5.976e-09,0.017943022409
Scenario1-15-20250720-17:24:04-736923,7,0.0021575296951443,0.0020782168106152,82476.0,1.6705e-08,0.016846314112
Scenario1-15-20250720-17:24:04-736923,8,0.0021483365959792,0.0020697367376448,82464.0,2.2965e-08,0.020912391956
Scenario1-15-20250720-17:24:04-736923,9,0.0021419045265282,0.0020777645376785,82312.0,2.2145e-08,0.020065445999
