run,user_id,avg_queue_length
Scenario1-18-20250720-17:24:05-736938,0,3.2722908590004
Scenario1-18-20250720-17:24:05-736938,1,3.2984361909097
Scenario1-18-20250720-17:24:05-736938,2,3.3038858828891
Scenario1-18-20250720-17:24:05-736938,3,3.3112600800396
Scenario1-18-20250720-17:24:05-736938,4,3.3366511666431
Scenario1-18-20250720-17:24:05-736938,5,3.2334076112876
Scenario1-18-20250720-17:24:05-736938,6,3.2308254270441
Scenario1-18-20250720-17:24:05-736938,7,3.2235040907304
Scenario1-18-20250720-17:24:05-736938,8,3.3011718991242
Scenario1-18-20250720-17:24:05-736938,9,3.3607094049515
Scenario1-19-20250720-17:24:05-736940,0,3.2516125583985
Scenario1-19-20250720-17:24:05-736940,1,3.3112060962962
Scenario1-19-20250720-17:24:05-736940,2,3.2906601910622
Scenario1-19-20250720-17:24:05-736940,3,3.3032507600142
Scenario1-19-20250720-17:24:05-736940,4,3.2628500242214
Scenario1-19-20250720-17:24:05-736940,5,3.2144087115506
Scenario1-19-20250720-17:24:05-736940,6,3.2495065194862
Scenario1-19-20250720-17:24:05-736940,7,3.2830450938857
Scenario1-19-20250720-17:24:05-736940,8,3.2843107677192
Scenario1-19-20250720-17:24:05-736940,9,3.2820699833454
Scenario1-1-20250720-17:24:01-736835,0,3.2059931261961
Scenario1-1-20250720-17:24:01-736835,1,3.2079604931413
Scenario1-1-20250720-17:24:01-736835,2,3.2350537363785
Scenario1-1-20250720-17:24:01-736835,3,3.2480663911293
Scenario1-1-20250720-17:24:01-736835,4,3.2427153481241
Scenario1-1-20250720-17:24:01-736835,5,3.2652198257605
Scenario1-1-20250720-17:24:01-736835,6,3.1935795625458
Scenario1-1-20250720-17:24:01-736835,7,3.2092175532332
Scenario1-1-20250720-17:24:01-736835,8,3.1958417155987
Scenario1-1-20250720-17:24:01-736835,9,3.2346224021716
Scenario1-20-20250720-17:24:06-736952,0,3.2701266220444
Scenario1-20-20250720-17:24:06-736952,1,3.2549771256751
Scenario1-20-20250720-17:24:06-736952,2,3.2473363276452
Scenario1-20-20250720-17:24:06-736952,3,3.327539073267
Scenario1-20-20250720-17:24:06-736952,4,3.2437548472031
Scenario1-20-20250720-17:24:06-736952,5,3.3220881570962
Scenario1-20-20250720-17:24:06-736952,6,3.29527641248
Scenario1-20-20250720-17:24:06-736952,7,3.3003252358957
Scenario1-20-20250720-17:24:06-736952,8,3.3206098356689
Scenario1-20-20250720-17:24:06-736952,9,3.2788404040979
Scenario1-21-20250720-17:24:06-736953,0,3.2120185885606
Scenario1-21-20250720-17:24:06-736953,1,3.2266311640726
Scenario1-21-20250720-17:24:06-736953,2,3.2557382929907
Scenario1-21-20250720-17:24:06-736953,3,3.2046329442652
Scenario1-21-20250720-17:24:06-736953,4,3.2395398884178
Scenario1-21-20250720-17:24:06-736953,5,3.2404636415204
Scenario1-21-20250720-17:24:06-736953,6,3.2741839362859
Scenario1-21-20250720-17:24:06-736953,7,3.3040869783801
Scenario1-21-20250720-17:24:06-736953,8,3.2114195481105
Scenario1-21-20250720-17:24:06-736953,9,3.2276050397578
Scenario1-22-20250720-17:24:06-736966,0,3.2637667977033
Scenario1-22-20250720-17:24:06-736966,1,3.2839385011431
Scenario1-22-20250720-17:24:06-736966,2,3.2269867152386
Scenario1-22-20250720-17:24:06-736966,3,3.2448606370876
Scenario1-22-20250720-17:24:06-736966,4,3.2893019042348
Scenario1-22-20250720-17:24:06-736966,5,3.2522372079485
Scenario1-22-20250720-17:24:06-736966,6,3.2543103455447
Scenario1-22-20250720-17:24:06-736966,7,3.250875889674
Scenario1-22-20250720-17:24:06-736966,8,3.2904594134392
Scenario1-22-20250720-17:24:06-736966,9,3.2064452715069
Scenario1-23-20250720-17:24:06-736965,0,3.3051292429895
Scenario1-23-20250720-17:24:06-736965,1,3.3162088989082
Scenario1-23-20250720-17:24:06-736965,2,3.3034164060613
Scenario1-23-20250720-17:24:06-736965,3,3.3282067244063
Scenario1-23-20250720-17:24:06-736965,4,3.2995563637987
Scenario1-23-20250720-17:24:06-736965,5,3.3082266854218
Scenario1-23-20250720-17:24:06-736965,6,3.3169547139991
Scenario1-23-20250720-17:24:06-736965,7,3.3273667689533
Scenario1-23-20250720-17:24:06-736965,8,3.3342066790442
Scenario1-23-20250720-17:24:06-736965,9,3.2600881841245
Scenario1-24-20250720-17:24:07-736975,0,3.27059065343
Scenario1-24-20250720-17:24:07-736975,1,3.2593497255
Scenario1-24-20250720-17:24:07-736975,2,3.2974826653248
Scenario1-24-20250720-17:24:07-736975,3,3.2380019677053
Scenario1-24-20250720-17:24:07-736975,4,3.2902789339896
Scenario1-24-20250720-17:24:07-736975,5,3.2412540473551
Scenario1-24-20250720-17:24:07-736975,6,3.311430542817
Scenario1-24-20250720-17:24:07-736975,7,3.2425234056173
Scenario1-24-20250720-17:24:07-736975,8,3.2797180160132
Scenario1-24-20250720-17:24:07-736975,9,3.2679886604716
Scenario1-25-20250720-17:24:07-736980,0,3.2809840609549
Scenario1-25-20250720-17:24:07-736980,1,3.2734112925627
Scenario1-25-20250720-17:24:07-736980,2,3.2502914678842
Scenario1-25-20250720-17:24:07-736980,3,3.2866887429862
Scenario1-25-20250720-17:24:07-736980,4,3.2740613458136
Scenario1-25-20250720-17:24:07-736980,5,3.2758907557741
Scenario1-25-20250720-17:24:07-736980,6,3.2649602485667
Scenario1-25-20250720-17:24:07-736980,7,3.298275742722
Scenario1-25-20250720-17:24:07-736980,8,3.2723817479828
Scenario1-25-20250720-17:24:07-736980,9,3.2591742180446
Scenario1-26-20250720-17:24:08-736985,0,3.19267288482
Scenario1-26-20250720-17:24:08-736985,1,3.2379787450598
Scenario1-26-20250720-17:24:08-736985,2,3.2280195472783
Scenario1-26-20250720-17:24:08-736985,3,3.2478835903521
Scenario1-26-20250720-17:24:08-736985,4,3.2263398935531
Scenario1-26-20250720-17:24:08-736985,5,3.2101947689487
Scenario1-26-20250720-17:24:08-736985,6,3.234126722318
Scenario1-26-20250720-17:24:08-736985,7,3.2245798853596
Scenario1-26-20250720-17:24:08-736985,8,3.2603413519727
Scenario1-26-20250720-17:24:08-736985,9,3.1999976635913
