run,system_bytes,system_throughput_bps,system_throughput_mbps
Scenario1-39-20250720-17:24:11-737054,35554102.0,5171505.745454545,5.171505745454545
Scenario1-40-20250720-17:24:11-737059,35544021.0,5170039.418181818,5.170039418181818
Scenario1-41-20250720-17:24:11-737060,35545420.0,5170242.909090909,5.170242909090909
Scenario1-42-20250720-17:24:12-737069,35554828.0,5171611.345454546,5.171611345454545
Scenario1-43-20250720-17:24:12-737074,35505700.0,5164465.454545454,5.1644654545454545
Scenario1-44-20250720-17:24:12-737079,35565060.0,5173099.636363637,5.173099636363637
Scenario1-70-20250720-17:24:26-737294,39769765.0,5784693.090909091,5.784693090909091
Scenario1-80-20250720-17:24:30-737358,39695123.0,5773836.072727272,5.773836072727272
Scenario1-81-20250720-17:24:31-737366,39623047.0,5763352.290909091,5.763352290909091
Scenario1-82-20250720-17:24:31-737371,39601747.0,5760254.109090909,5.760254109090909
Scenario1-83-20250720-17:24:32-737376,39623870.0,5763472.0,5.763472
Scenario1-84-20250720-17:24:32-737381,39774247.0,5785345.018181819,5.785345018181818
Scenario1-85-20250720-17:24:32-737386,39740787.0,5780478.109090909,5.780478109090909
Scenario1-86-20250720-17:24:33-737391,39600857.0,5760124.654545454,5.7601246545454545
Scenario1-87-20250720-17:24:34-737397,39759480.0,5783197.090909091,5.78319709090909
Scenario1-88-20250720-17:24:34-737402,39762710.0,5783666.909090909,5.783666909090909
Scenario1-89-20250720-17:24:35-737407,39784370.0,5786817.454545454,5.786817454545454
Scenario1-71-20250720-17:24:26-737302,39718000.0,5777163.636363637,5.777163636363636
Scenario1-90-20250720-17:24:35-737412,39787785.0,5787314.181818182,5.787314181818181
Scenario1-91-20250720-17:24:36-737426,39738666.0,5780169.6,5.7801696
Scenario1-92-20250720-17:24:37-737431,39762359.0,5783615.8545454545,5.783615854545454
Scenario1-93-20250720-17:24:37-737436,39766689.0,5784245.672727273,5.784245672727272
Scenario1-94-20250720-17:24:37-737441,39731715.0,5779158.545454546,5.779158545454546
Scenario1-95-20250720-17:24:38-737446,39692032.0,5773386.472727273,5.773386472727273
Scenario1-96-20250720-17:24:39-737452,39698093.0,5774268.072727272,5.774268072727272
Scenario1-97-20250720-17:24:39-737457,39717415.0,5777078.545454546,5.777078545454546
Scenario1-98-20250720-17:24:39-737462,39723835.0,5778012.363636363,5.778012363636363
Scenario1-99-20250720-17:24:41-737467,39746875.0,5781363.636363637,5.781363636363636
Scenario1-72-20250720-17:24:26-737307,39776588.0,5785685.527272727,5.785685527272728
Scenario1-100-20250720-17:24:41-737475,39705320.0,5775319.2727272725,5.775319272727272
Scenario1-101-20250720-17:24:42-737480,39678750.0,5771454.545454546,5.771454545454546
Scenario1-102-20250720-17:24:42-737485,39757194.0,5782864.581818182,5.782864581818182
Scenario1-103-20250720-17:24:43-737498,39716738.0,5776980.072727272,5.776980072727272
Scenario1-104-20250720-17:24:43-737503,39662451.0,5769083.781818182,5.769083781818182
Scenario1-73-20250720-17:24:27-737312,39649394.0,5767184.581818182,5.767184581818182
Scenario1-74-20250720-17:24:28-737317,39730040.0,5778914.909090909,5.7789149090909095
Scenario1-75-20250720-17:24:28-737322,39737194.0,5779955.490909091,5.779955490909091
Scenario1-76-20250720-17:24:28-737331,39742468.0,5780722.618181818,5.7807226181818185
Scenario1-77-20250720-17:24:29-737343,39728834.0,5778739.490909091,5.778739490909091
Scenario1-78-20250720-17:24:30-737348,39684822.0,5772337.745454545,5.7723377454545455
Scenario1-79-20250720-17:24:30-737353,39774965.0,5785449.454545454,5.7854494545454545
Scenario1-105-20250720-17:24:44-737516,43945255.0,6392037.090909091,6.392037090909091
Scenario1-115-20250720-17:24:49-737579,43874053.0,6381680.4363636365,6.381680436363636
Scenario1-116-20250720-17:24:51-737584,43805167.0,6371660.654545454,6.371660654545455
Scenario1-117-20250720-17:24:51-737585,43809749.0,6372327.127272727,6.372327127272727
Scenario1-118-20250720-17:24:51-737597,43795132.0,6370201.018181819,6.3702010181818185
Scenario1-119-20250720-17:24:51-737602,43963423.0,6394679.709090909,6.394679709090909
Scenario1-120-20250720-17:24:52-737607,43925419.0,6389151.8545454545,6.389151854545455
Scenario1-121-20250720-17:24:53-737612,43782044.0,6368297.30909091,6.368297309090909
Scenario1-122-20250720-17:24:53-737617,43946798.0,6392261.527272727,6.392261527272727
Scenario1-123-20250720-17:24:53-737622,43947520.0,6392366.545454546,6.3923665454545455
Scenario1-124-20250720-17:24:54-737628,43964681.0,6394862.69090909,6.394862690909091
Scenario1-106-20250720-17:24:44-737521,43888164.0,6383732.945454545,6.383732945454545
Scenario1-125-20250720-17:24:54-737633,43945998.0,6392145.163636364,6.392145163636364
Scenario1-126-20250720-17:24:55-737638,43922948.0,6388792.4363636365,6.388792436363636
Scenario1-127-20250720-17:24:56-737646,43917846.0,6388050.327272727,6.388050327272727
Scenario1-128-20250720-17:24:56-737651,43969822.0,6395610.472727273,6.395610472727273
Scenario1-129-20250720-17:24:56-737656,43911840.0,6387176.7272727275,6.387176727272728
Scenario1-130-20250720-17:24:58-737662,43876030.0,6381968.0,6.381968
Scenario1-131-20250720-17:24:58-737670,43861662.0,6379878.109090909,6.379878109090909
Scenario1-132-20250720-17:24:59-737677,43891476.0,6384214.69090909,6.384214690909091
Scenario1-133-20250720-17:24:59-737687,43893224.0,6384468.945454545,6.384468945454545
Scenario1-134-20250720-17:25:00-737692,43937450.0,6390901.818181818,6.390901818181819
Scenario1-107-20250720-17:24:46-737526,43965134.0,6394928.581818182,6.394928581818182
Scenario1-135-20250720-17:25:01-737697,43862358.0,6379979.345454546,6.3799793454545455
Scenario1-136-20250720-17:25:01-737705,43858112.0,6379361.745454545,6.3793617454545455
Scenario1-137-20250720-17:25:01-737710,43946294.0,6392188.218181818,6.3921882181818175
Scenario1-138-20250720-17:25:03-737715,43907621.0,6386563.054545455,6.386563054545455
Scenario1-139-20250720-17:25:03-737720,43836387.0,6376201.745454545,6.376201745454545
Scenario1-108-20250720-17:24:46-737529,43832187.0,6375590.836363636,6.375590836363636
Scenario1-109-20250720-17:24:46-737539,43888133.0,6383728.4363636365,6.383728436363636
Scenario1-110-20250720-17:24:47-737549,43891108.0,6384161.163636364,6.384161163636364
Scenario1-111-20250720-17:24:48-737558,43935638.0,6390638.254545455,6.390638254545455
Scenario1-112-20250720-17:24:48-737561,43919666.0,6388315.054545455,6.388315054545455
Scenario1-113-20250720-17:24:49-737568,43854036.0,6378768.872727273,6.378768872727273
Scenario1-114-20250720-17:24:49-737574,43981205.0,6397266.181818182,6.397266181818182
Scenario1-140-20250720-17:25:04-737725,48135985.0,7001597.818181818,7.001597818181819
Scenario1-150-20250720-17:25:09-737784,48056020.0,6989966.545454546,6.989966545454546
Scenario1-151-20250720-17:25:11-737793,48035363.0,6986961.890909091,6.9869618909090905
Scenario1-152-20250720-17:25:11-737801,47986796.0,6979897.6,6.979897599999999
Scenario1-153-20250720-17:25:11-737806,47982707.0,6979302.836363636,6.979302836363636
Scenario1-154-20250720-17:25:11-737811,48146699.0,7003156.218181818,7.003156218181818
Scenario1-155-20250720-17:25:12-737816,48102167.0,6996678.836363636,6.996678836363636
Scenario1-156-20250720-17:25:13-737821,47960835.0,6976121.454545454,6.976121454545454
Scenario1-157-20250720-17:25:13-737826,48140050.0,7002189.090909091,7.0021890909090905
Scenario1-158-20250720-17:25:14-737832,48138492.0,7001962.472727273,7.001962472727272
Scenario1-159-20250720-17:25:14-737837,48136821.0,7001719.418181818,7.001719418181818
Scenario1-141-20250720-17:25:04-737730,48079869.0,6993435.490909091,6.993435490909091
Scenario1-160-20250720-17:25:16-737845,48117505.0,6998909.818181818,6.998909818181819
Scenario1-161-20250720-17:25:16-737850,48097923.0,6996061.527272727,6.996061527272727
Scenario1-162-20250720-17:25:16-737855,48110363.0,6997870.981818181,6.997870981818181
Scenario1-163-20250720-17:25:17-737860,48158165.0,7004824.0,7.004824
Scenario1-164-20250720-17:25:17-737865,48093013.0,6995347.345454546,6.995347345454546
Scenario1-165-20250720-17:25:18-737870,48045606.0,6988451.781818182,6.988451781818182
Scenario1-166-20250720-17:25:19-737875,48028228.0,6985924.072727272,6.985924072727272
Scenario1-167-20250720-17:25:19-737881,48087937.0,6994609.018181819,6.994609018181818
Scenario1-168-20250720-17:25:19-737886,48062770.0,6990948.363636363,6.990948363636363
Scenario1-169-20250720-17:25:21-737895,48140146.0,7002203.054545455,7.002203054545455
Scenario1-142-20250720-17:25:05-737736,48162951.0,7005520.1454545455,7.005520145454546
Scenario1-170-20250720-17:25:21-737904,48045860.0,6988488.7272727275,6.988488727272728
Scenario1-171-20250720-17:25:21-737909,48031274.0,6986367.127272727,6.986367127272727
Scenario1-172-20250720-17:25:22-737914,48117601.0,6998923.781818182,6.998923781818182
Scenario1-173-20250720-17:25:23-737919,48093815.0,6995464.0,6.995464
Scenario1-174-20250720-17:25:24-737925,48013577.0,6983793.018181819,6.983793018181818
Scenario1-143-20250720-17:25:06-737741,47999998.0,6981817.890909091,6.981817890909091
Scenario1-144-20250720-17:25:06-737749,48101763.0,6996620.072727272,6.996620072727272
Scenario1-145-20250720-17:25:06-737754,48083960.0,6994030.545454546,6.994030545454546
Scenario1-146-20250720-17:25:08-737762,48117950.0,6998974.545454546,6.998974545454546
Scenario1-147-20250720-17:25:08-737767,48118045.0,6998988.363636363,6.9989883636363635
Scenario1-148-20250720-17:25:09-737772,47993418.0,6980860.8,6.980860799999999
Scenario1-149-20250720-17:25:09-737779,48166915.0,7006096.7272727275,7.006096727272728
Scenario1-175-20250720-17:25:24-737930,52325743.0,7611017.163636364,7.611017163636364
Scenario1-185-20250720-17:25:32-737988,52226297.0,7596552.290909091,7.5965522909090915
Scenario1-186-20250720-17:25:32-737996,52252194.0,7600319.127272727,7.600319127272727
Scenario1-187-20250720-17:25:32-738002,52157662.0,7586569.018181819,7.586569018181819
Scenario1-188-20250720-17:25:32-738007,52162502.0,7587273.018181819,7.587273018181818
Scenario1-189-20250720-17:25:34-738013,52312894.0,7609148.218181818,7.609148218181818
Scenario1-190-20250720-17:25:35-738018,52269762.0,7602874.472727273,7.602874472727272
Scenario1-191-20250720-17:25:35-738023,52148211.0,7585194.327272727,7.585194327272728
Scenario1-192-20250720-17:25:35-738028,52315719.0,7609559.127272727,7.6095591272727265
Scenario1-193-20250720-17:25:36-738036,52321460.0,7610394.181818182,7.610394181818181
Scenario1-194-20250720-17:25:37-738042,52296996.0,7606835.781818182,7.606835781818182
Scenario1-176-20250720-17:25:24-737935,52261025.0,7601603.636363637,7.601603636363636
Scenario1-195-20250720-17:25:37-738047,52303717.0,7607813.381818182,7.607813381818182
Scenario1-196-20250720-17:25:38-738052,52271133.0,7603073.890909091,7.603073890909091
Scenario1-197-20250720-17:25:38-738057,52289879.0,7605800.581818182,7.605800581818182
Scenario1-198-20250720-17:25:40-738063,52313912.0,7609296.290909091,7.609296290909091
Scenario1-199-20250720-17:25:40-738068,52277144.0,7603948.218181818,7.603948218181817
Scenario1-200-20250720-17:25:40-738073,52225555.0,7596444.363636363,7.596444363636364
Scenario1-201-20250720-17:25:40-738078,52189363.0,7591180.072727272,7.591180072727273
Scenario1-202-20250720-17:25:41-738086,52274055.0,7603498.909090909,7.603498909090909
Scenario1-203-20250720-17:25:42-738092,52218161.0,7595368.872727273,7.595368872727273
Scenario1-204-20250720-17:25:42-738097,52313363.0,7609216.4363636365,7.609216436363637
Scenario1-177-20250720-17:25:26-737943,52367830.0,7617138.909090909,7.617138909090909
Scenario1-205-20250720-17:25:43-738105,52227907.0,7596786.472727273,7.596786472727272
Scenario1-206-20250720-17:25:43-738111,52231196.0,7597264.872727273,7.597264872727273
Scenario1-207-20250720-17:25:44-738116,52269164.0,7602787.490909091,7.602787490909091
Scenario1-208-20250720-17:25:45-738122,52268836.0,7602739.781818182,7.602739781818182
Scenario1-209-20250720-17:25:45-738127,52209081.0,7594048.1454545455,7.594048145454545
Scenario1-178-20250720-17:25:26-737948,52187350.0,7590887.2727272725,7.590887272727272
Scenario1-179-20250720-17:25:27-737953,52254698.0,7600683.345454546,7.600683345454546
Scenario1-180-20250720-17:25:27-737958,52244020.0,7599130.181818182,7.599130181818182
Scenario1-181-20250720-17:25:29-737964,52275705.0,7603738.909090909,7.603738909090909
Scenario1-182-20250720-17:25:29-737969,52305334.0,7608048.581818182,7.608048581818182
Scenario1-183-20250720-17:25:29-737974,52141981.0,7584288.1454545455,7.584288145454545
Scenario1-184-20250720-17:25:29-737979,52325989.0,7611052.945454545,7.611052945454546
Scenario1-210-20250720-17:25:45-738132,56441647.0,8209694.109090909,8.20969410909091
Scenario1-220-20250720-17:25:51-738189,56444784.0,8210150.4,8.2101504
Scenario1-221-20250720-17:25:51-738190,56402139.0,8203947.490909091,8.20394749090909
Scenario1-222-20250720-17:25:52-738199,56353328.0,8196847.709090909,8.196847709090909
Scenario1-223-20250720-17:25:53-738205,56294358.0,8188270.254545455,8.188270254545454
Scenario1-224-20250720-17:25:53-738210,56515542.0,8220442.472727273,8.220442472727273
Scenario1-225-20250720-17:25:54-738220,56512243.0,8219962.618181818,8.219962618181818
Scenario1-226-20250720-17:25:54-738221,56332529.0,8193822.4,8.1938224
