run,mean_scheduled_users,stddev_scheduled_users,min_scheduled_users,max_scheduled_users
Scenario1-0-20250720-17:24:01-736834,4.8300030908529,1.7817893401628,1.0,10.0
Scenario1-10-20250720-17:24:03-736898,4.7853311757968,1.7882159987115,1.0,10.0
Scenario1-11-20250720-17:24:03-736899,4.8402392683769,1.7883521234072,1.0,10.0
Scenario1-12-20250720-17:24:03-736910,4.8195305539899,1.7854903084124,1.0,10.0
Scenario1-13-20250720-17:24:03-736911,4.8268576934965,1.7886112734601,1.0,10.0
Scenario1-14-20250720-17:24:04-736922,4.8289667460592,1.781378884614,1.0,10.0
Scenario1-15-20250720-17:24:04-736923,4.8246213705205,1.7740979666505,1.0,10.0
Scenario1-16-20250720-17:24:05-736932,4.8298758204396,1.7833122810803,1.0,10.0
Scenario1-17-20250720-17:24:05-736937,4.8206759877093,1.780022100306,1.0,10.0
Scenario1-18-20250720-17:24:05-736938,4.7997672769586,1.7790489646343,1.0,10.0
Scenario1-19-20250720-17:24:05-736940,4.8029308558026,1.7852983837496,1.0,10.0
Scenario1-1-20250720-17:24:01-736835,4.816548790022,1.7818528522622,1.0,10.0
Scenario1-20-20250720-17:24:06-736952,4.7940037453864,1.7849678501573,1.0,10.0
Scenario1-21-20250720-17:24:06-736953,4.8288940201087,1.7736286462978,1.0,10.0
Scenario1-22-20250720-17:24:06-736966,4.8176760422538,1.7926194919052,1.0,10.0
Scenario1-23-20250720-17:24:06-736965,4.7741859238923,1.7792715014591,1.0,10.0
Scenario1-24-20250720-17:24:07-736975,4.7970400538172,1.7762747439042,1.0,10.0
Scenario1-25-20250720-17:24:07-736980,4.7915310630716,1.7647544004719,1.0,10.0
Scenario1-26-20250720-17:24:08-736985,4.8286394792822,1.7794377410868,1.0,10.0
Scenario1-27-20250720-17:24:08-736991,4.8293121943237,1.7817845134497,1.0,10.0
Scenario1-28-20250720-17:24:08-736990,4.8154760822531,1.7851726005617,1.0,10.0
Scenario1-29-20250720-17:24:08-737000,4.8288031126707,1.7691600991786,1.0,10.0
